[Epoch 5] Train=0.811 Val=0.800 Loss=3.606 Time=15.43 
[Epoch 6] Train=0.868 Val=0.675 Loss=2.863 Time=21.18 
[Epoch 7] Train=0.893 Val=0.750 Loss=2.418 Time=12.01 
[Epoch 8] Train=0.835 Val=0.800 Loss=3.365 Time=15.99 
[Epoch 9] Train=0.915 Val=0.700 Loss=1.827 Time=19.89 
[Epoch 10] Train=0.854 Val=0.775 Loss=2.560 Time=19.40 
[Epoch 11] Train=0.853 Val=0.775 Loss=2.466 Time=15.07 
[Epoch 12] Train=0.897 Val=0.775 Loss=2.732 Time=16.00 
[Epoch 13] Train=0.918 Val=0.725 Loss=1.805 Time=16.68 
[Epoch 14] Train=0.860 Val=0.700 Loss=3.048 Time=14.27 
[Epoch 15] Train=0.946 Val=0.833 Loss=1.198 Time=15.31 
[Epoch 16] Train=0.904 Val=0.800 Loss=2.111 Time=14.69 
[Epoch 17] Train=0.886 Val=0.750 Loss=2.171 Time=13.16 
[Epoch 18] Train=0.886 Val=0.700 Loss=2.382 Time=14.76 
[Epoch 19] Train=0.941 Val=0.725 Loss=1.318 Time=15.07 
[Epoch 20] Train=0.893 Val=0.800 Loss=2.089 Time=15.67 
[Epoch 21] Train=0.914 Val=0.650 Loss=1.985 Time=22.66 
[Epoch 22] Train=0.879 Val=0.775 Loss=2.753 Time=14.42 
[Epoch 23] Train=0.911 Val=0.771 Loss=1.829 Time=12.97 
[Epoch 24] Train=0.960 Val=0.700 Loss=0.882 Time=17.35 
[Epoch 25] Train=0.908 Val=0.800 Loss=2.133 Time=20.20 
[Epoch 26] Train=0.911 Val=0.650 Loss=1.815 Time=12.31 
[Epoch 27] Train=0.963 Val=0.625 Loss=0.857 Time=16.24 
[Epoch 28] Train=0.919 Val=0.700 Loss=1.629 Time=15.77 
[Epoch 29] Train=0.921 Val=0.675 Loss=1.928 Time=21.25 
[Epoch 30] Train=0.963 Val=0.775 Loss=1.107 Time=13.90 
[Epoch 31] Train=0.946 Val=0.750 Loss=1.585 Time=19.32 
[Epoch 32] Train=0.934 Val=0.725 Loss=1.185 Time=13.86 
[Epoch 33] Train=0.930 Val=0.775 Loss=1.340 Time=18.62 
[Epoch 34] Train=0.939 Val=0.750 Loss=0.923 Time=18.63 
[Epoch 35] Train=0.952 Val=0.725 Loss=1.004 Time=13.84 
[Epoch 36] Train=0.956 Val=0.750 Loss=1.188 Time=12.00 
[Epoch 37] Train=0.911 Val=0.600 Loss=1.749 Time=14.82 
[Epoch 38] Train=0.938 Val=0.800 Loss=1.262 Time=12.91 
[Epoch 39] Train=0.968 Val=0.750 Loss=0.732 Time=22.74 
[Epoch 40] Train=0.938 Val=0.725 Loss=1.109 Time=20.02 
[Epoch 41] Train=0.952 Val=0.725 Loss=1.488 Time=11.72 
[Epoch 42] Train=0.925 Val=0.750 Loss=1.550 Time=12.82 
[Epoch 43] Train=0.941 Val=0.800 Loss=0.888 Time=15.38 
[Epoch 44] Train=0.956 Val=0.775 Loss=0.912 Time=17.04 
[Epoch 45] Train=0.964 Val=0.825 Loss=0.822 Time=11.85 
[Epoch 46] Train=0.952 Val=0.825 Loss=0.997 Time=16.09 
